2023-05-16 18:47:16,016   |   INFO   |   Scanning directories...
2023-05-16 18:47:16,016   |   INFO   |   Scanned directories successfully!
2023-05-16 18:47:16,016   |   INFO   |   Registering login manager...
2023-05-16 18:47:16,016   |   INFO   |   Registering routes...
2023-05-16 18:47:16,267   |   INFO   |   Updated formulas database info!
2023-05-16 18:54:26,442   |   INFO   |   Load main Page
2023-05-16 18:54:26,525   |   INFO   |   Got user with id: 1!
2023-05-16 20:54:58,414   |   INFO   |   Scanning directories...
2023-05-16 20:54:58,414   |   INFO   |   Scanned directories successfully!
2023-05-16 20:54:58,415   |   INFO   |   Registering login manager...
2023-05-16 20:54:58,415   |   INFO   |   Registering routes...
2023-05-16 20:54:58,532   |   INFO   |   Updated formulas database info!
2023-05-16 20:55:03,119   |   INFO   |   Load main Page
2023-05-16 20:55:03,201   |   INFO   |   Got user with id: 1!
2023-05-16 20:55:06,900   |   INFO   |   Got user with id: 1!
2023-05-16 20:55:07,953   |   INFO   |   Got user with id: 1!
2023-05-16 20:55:44,944   |   INFO   |   Scanning directories...
2023-05-16 20:55:44,944   |   INFO   |   Scanned directories successfully!
2023-05-16 20:55:44,944   |   INFO   |   Registering login manager...
2023-05-16 20:55:44,944   |   INFO   |   Registering routes...
2023-05-16 20:55:45,064   |   INFO   |   Updated formulas database info!
2023-05-16 20:55:48,161   |   INFO   |   Got user with id: 1!
2023-05-16 20:55:48,877   |   INFO   |   Got user with id: 1!
2023-05-16 20:56:35,252   |   INFO   |   Scanning directories...
2023-05-16 20:56:35,252   |   INFO   |   Scanned directories successfully!
2023-05-16 20:56:35,252   |   INFO   |   Registering login manager...
2023-05-16 20:56:35,253   |   INFO   |   Registering routes...
2023-05-16 20:56:35,369   |   INFO   |   Updated formulas database info!
2023-05-16 20:56:37,129   |   INFO   |   Got user with id: 1!
2023-05-16 20:56:37,252   |   ERROR   |   
2023-05-16 20:56:37,415   |   ERROR   |   
2023-05-16 20:56:37,875   |   INFO   |   Got user with id: 1!
2023-05-16 20:56:37,940   |   ERROR   |   
2023-05-16 20:56:39,001   |   INFO   |   Got user with id: 1!
2023-05-16 20:56:39,125   |   ERROR   |   
2023-05-16 20:56:39,829   |   INFO   |   Got user with id: 1!
2023-05-16 20:56:39,918   |   ERROR   |   
2023-05-16 20:56:41,653   |   ERROR   |   
2023-05-16 20:56:41,682   |   ERROR   |   
2023-05-16 20:59:03,360   |   INFO   |   Scanning directories...
2023-05-16 20:59:03,360   |   INFO   |   Scanned directories successfully!
2023-05-16 20:59:03,360   |   INFO   |   Registering login manager...
2023-05-16 20:59:03,360   |   INFO   |   Registering routes...
2023-05-16 20:59:03,478   |   INFO   |   Updated formulas database info!
2023-05-16 20:59:04,153   |   INFO   |   Got user with id: 1!
2023-05-16 20:59:04,266   |   ERROR   |   
2023-05-16 20:59:05,595   |   INFO   |   Got user with id: 1!
2023-05-16 20:59:05,685   |   ERROR   |   
2023-05-16 20:59:07,484   |   ERROR   |   
2023-05-16 20:59:07,522   |   ERROR   |   
2023-05-16 20:59:40,810   |   INFO   |   Scanning directories...
2023-05-16 20:59:40,810   |   INFO   |   Scanned directories successfully!
2023-05-16 20:59:40,810   |   INFO   |   Registering login manager...
2023-05-16 20:59:40,811   |   INFO   |   Registering routes...
2023-05-16 20:59:40,930   |   INFO   |   Updated formulas database info!
2023-05-16 20:59:41,047   |   INFO   |   Got user with id: 1!
2023-05-16 20:59:41,193   |   ERROR   |   
2023-05-16 20:59:41,635   |   INFO   |   Got user with id: 1!
2023-05-16 20:59:41,727   |   ERROR   |   
2023-05-16 20:59:42,628   |   INFO   |   Got user with id: 1!
2023-05-16 20:59:42,764   |   ERROR   |   
2023-05-16 20:59:43,974   |   INFO   |   Got user with id: 1!
2023-05-16 21:01:56,177   |   INFO   |   Scanning directories...
2023-05-16 21:01:56,177   |   INFO   |   Scanned directories successfully!
2023-05-16 21:01:56,178   |   INFO   |   Registering login manager...
2023-05-16 21:01:56,178   |   INFO   |   Registering routes...
2023-05-16 21:01:56,401   |   INFO   |   Updated formulas database info!
2023-05-16 21:01:56,560   |   INFO   |   Got user with id: 1!
2023-05-16 21:01:56,660   |   ERROR   |   
2023-05-16 21:01:58,858   |   INFO   |   Got user with id: 1!
2023-05-16 21:02:48,381   |   INFO   |   Scanning directories...
2023-05-16 21:02:48,382   |   INFO   |   Scanned directories successfully!
2023-05-16 21:02:48,382   |   INFO   |   Registering login manager...
2023-05-16 21:02:48,382   |   INFO   |   Registering routes...
2023-05-16 21:02:48,594   |   INFO   |   Updated formulas database info!
2023-05-16 21:02:49,631   |   INFO   |   Got user with id: 1!
2023-05-16 21:03:27,607   |   INFO   |   Scanning directories...
2023-05-16 21:03:27,608   |   INFO   |   Scanned directories successfully!
2023-05-16 21:03:27,608   |   INFO   |   Registering login manager...
2023-05-16 21:03:27,608   |   INFO   |   Registering routes...
2023-05-16 21:03:27,723   |   INFO   |   Updated formulas database info!
2023-05-16 21:03:27,884   |   INFO   |   Got user with id: 1!
2023-05-16 21:03:28,001   |   ERROR   |   
2023-05-16 21:03:30,170   |   INFO   |   Got user with id: 1!
2023-05-16 21:03:30,224   |   ERROR   |   
2023-05-16 21:03:59,311   |   INFO   |   Scanning directories...
2023-05-16 21:03:59,312   |   INFO   |   Scanned directories successfully!
2023-05-16 21:03:59,312   |   INFO   |   Registering login manager...
2023-05-16 21:03:59,312   |   INFO   |   Registering routes...
2023-05-16 21:03:59,427   |   INFO   |   Updated formulas database info!
2023-05-16 21:04:13,373   |   INFO   |   Scanning directories...
2023-05-16 21:04:13,373   |   INFO   |   Scanned directories successfully!
2023-05-16 21:04:13,373   |   INFO   |   Registering login manager...
2023-05-16 21:04:13,373   |   INFO   |   Registering routes...
2023-05-16 21:04:13,501   |   INFO   |   Updated formulas database info!
2023-05-16 21:04:15,140   |   INFO   |   Got user with id: 1!
2023-05-16 21:04:15,166   |   ERROR   |   
2023-05-16 21:04:16,582   |   ERROR   |   
2023-05-16 21:04:17,086   |   INFO   |   Got user with id: 1!
2023-05-16 21:04:17,178   |   ERROR   |   
2023-05-16 21:04:18,716   |   INFO   |   Got user with id: 1!
2023-05-16 21:04:18,750   |   ERROR   |   
2023-05-16 21:05:01,591   |   INFO   |   Scanning directories...
